Democrat,population,population_change,age65plus,Black,Hispanic,Edu_bachelors,income,Poverty,Density
0,55395,1.5,13.8,0.187,0.027,20.9,53682,12.1,91.8
0,8433,-2,19.3,0.008,0.028,19.9,51793,9.1,13.7
0,15080,0.7,18.4,0.036,0.025,9,38019,18.4,26.7
0,29317,-1,15.6,0.03,0.113,13.7,39267,20.6,23.2
0,68838,-0.7,19.9,0.045,0.058,12.5,33159,22.7,91.9
0,20652,1,17.6,0.022,0.033,14.8,44149,16.9,20.7
0,3430,0,12.3,0.004,0.034,15.9,37607,39.3,2.9
0,163820,1.4,15.6,0.073,0.027,36,58080,13.9,390.5
0,66600,-1.8,19.5,0.099,0.041,17,36334,21.5,120.2
0,21362,-1.4,18.7,0.006,0.03,20,53057,8.3,41.4
0,4508,-5.2,17.8,0.005,0.01,12.4,19986,37.7,24.1
0,1850,0.2,18.7,0.004,0.025,16.4,71250,7.4,2.6
0,8996,-2.7,24.6,0.005,0.02,14.3,42025,9,13.3
0,44943,5.2,21.1,0.024,0.219,21.9,48115,16.3,43
0,6679,-2.6,15,0.041,0.037,15.4,64574,8.7,5.3
0,6598,2.9,19.6,0.007,0.022,19.7,48911,13.2,4.3
1,435286,-1.5,14.6,0.197,0.067,23.4,41556,20.8,1296.2
0,15994,-1.7,18.3,0.291,0.015,13.8,37388,20.6,28.6
0,86697,3.7,15.3,0.095,0.023,15.5,50786,15.2,132.3
1,213869,4.9,10.4,0.406,0.064,26.1,60781,11.2,633
0,58714,-1.5,15.5,0.014,0.061,13.1,49404,13.5,121.3
1,831928,4.6,12.7,0.074,0.102,24,59204,12.4,476.3
0,2660,7.4,22.9,0.006,0.023,17.3,47743,10.7,2.2
0,1153,-4.7,28.4,0.021,0.165,18.1,35845,25.5,1.2
0,16392,-1.5,20.6,0.02,0.011,15.4,42235,12.6,29.2
0,13552,-2.7,19.4,0.145,0.034,9.2,34002,19,23.1
0,14839,-0.3,15.9,0.125,0.025,12.9,42528,14.2,23.8
0,13157,-1.1,20.5,0.095,0.021,21.8,53459,13.3,41.5
1,11115,-3.7,15.7,0.717,0.011,11.2,24338,34.6,16.6
0,47981,1.1,18.5,0.113,0.033,16.1,44195,14.5,21.1
0,629237,4.4,12.2,0.104,0.101,31.7,51667,15.5,711.5
0,63825,1.2,17.7,0.013,0.024,15.1,34092,23.3,95.8
0,23528,-2.5,17.1,0.013,0.052,17.8,47894,13.4,20.4
0,107440,-0.2,16,0.038,0.017,18.8,44921,15.6,230.2
0,266560,-1,15.7,0.083,0.031,24.4,53633,14,376.3
0,25342,0.4,23.4,0.005,0.103,20.7,43676,16.1,22.9
0,285865,3.9,15.3,0.032,0.035,28.3,40337,18.7,407.5
0,66533,0,16.7,0.26,0.044,14.5,37383,20.6,93.2
0,19425,10.8,9.3,0.022,0.395,11.9,52910,16.8,11.7
0,33475,0,15.8,0.009,0.059,14.9,57500,7.7,59.8
